a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.043,-0.737,-0.725,21.301,-0.488,22.217,-62.90,0.15,0.00,0.00,0.00,22.63
0.046,-0.669,-0.831,6.042,11.719,24.353,25.70,-35.30,67.13,-13.48,13.74,-1.56
0.032,-0.585,-0.843,-1.099,12.085,21.240,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.587,-0.832,2.563,11.169,15.991,-62.90,0.15,0.00,0.00,0.00,22.63
-0.004,-0.657,-0.792,12.451,3.967,11.292,3.21,-4.21,8.66,-1.89,0.63,-0.10
-0.052,-0.674,-0.783,12.939,1.465,11.292,3.31,-7.30,6.73,-1.36,0.46,-0.08
-0.159,-0.693,-0.686,18.616,0.122,17.334,3.17,-4.73,7.95,-1.36,0.36,0.18
-0.161,-0.613,-0.690,18.860,3.662,21.301,3.37,-5.32,7.94,-1.08,0.43,0.14
-0.139,-0.602,-0.858,12.390,7.996,10.132,3.05,-6.09,6.52,-0.67,0.36,-0.07
-0.101,-0.726,-0.894,19.531,6.836,5.310,2.82,-6.05,6.33,-0.32,0.08,-0.01
-0.090,-0.720,-0.882,14.771,4.639,5.493,-62.90,0.15,0.00,0.00,0.00,22.63
-0.072,-0.758,-0.986,-5.493,-6.775,3.174,-62.90,0.15,0.00,0.00,0.00,22.63
-0.066,-0.763,-0.925,-12.451,-13.611,3.113,-62.90,0.15,0.00,0.00,0.00,22.63
-0.120,-0.725,-0.731,-17.456,-21.179,4.639,-62.90,0.15,0.00,0.00,0.00,22.63
-0.153,-0.629,-0.617,-18.005,-22.705,8.606,-7.86,0.02,0.00,0.00,0.00,22.63
-0.109,-0.551,-0.745,-8.118,-11.597,9.155,4.36,-4.40,11.99,-0.39,-0.66,0.20
-0.066,-0.696,-0.795,5.737,-7.874,6.714,3.94,-5.20,10.94,-0.54,0.14,0.23
-0.031,-0.838,-0.865,10.376,-4.822,8.362,3.00,-6.07,9.30,-0.59,0.19,0.27
-0.045,-0.817,-0.869,5.554,-6.348,7.874,3.03,-6.50,9.20,-0.50,0.06,0.27
-0.011,-0.862,-0.828,3.784,-5.615,5.310,2.87,-6.62,9.02,-0.31,0.02,0.21
0.015,-0.844,-0.828,0.854,-4.395,7.080,-7.86,0.02,0.00,0.00,0.00,2.83
0.009,-0.783,-0.826,-6.226,-8.240,12.695,2.21,-6.17,7.77,-0.11,0.04,0.17
-0.007,-0.641,-0.752,-6.958,-10.376,13.550,-62.90,0.15,0.00,0.00,0.00,22.63
0.009,-0.627,-0.737,-6.287,-9.216,12.146,-62.90,0.15,0.00,0.00,0.00,22.63
0.054,-0.683,-0.768,-4.822,-5.615,9.094,-62.90,0.15,0.00,0.00,0.00,22.63
-0.036,-0.577,-0.764,-11.597,-6.104,5.798,1.92,-5.30,7.37,0.32,-0.78,-0.09
-,-,-,-,-,-,-,-,-,-,-,-
0.036,-0.749,-0.770,5.981,8.545,-1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.729,-0.759,5.249,7.874,-0.244,-62.90,0.15,0.00,0.00,0.00,22.63
0.025,-0.687,-0.764,3.967,7.874,1.038,-62.90,0.15,0.00,0.00,0.00,22.63
0.035,-0.694,-0.789,7.141,7.751,0.732,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.724,-0.793,6.653,7.202,0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.725,-0.801,4.395,7.080,0.244,-7.86,0.02,0.00,0.00,0.00,2.83
0.042,-0.700,-0.818,-1.953,2.808,-0.977,2.80,-5.61,8.76,0.12,-0.23,-0.05
0.027,-0.683,-0.800,-2.808,1.221,-1.404,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.724,-0.789,0.488,1.770,-0.671,-62.90,0.15,0.00,0.00,0.00,22.63
0.007,-0.741,-0.780,0.732,2.808,0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.722,-0.786,-2.319,4.456,3.174,-62.90,0.15,0.00,0.00,0.00,22.63
0.039,-0.693,-0.789,-3.540,3.906,3.967,-62.90,0.15,0.00,0.00,0.00,22.63
0.059,-0.672,-0.794,-3.174,2.808,4.028,-62.90,0.15,0.00,0.00,0.00,22.63
0.054,-0.636,-0.779,-1.343,1.221,4.028,-62.90,0.15,0.00,0.00,0.00,22.63
0.046,-0.638,-0.774,1.343,-0.977,0.793,-62.90,0.15,0.00,0.00,0.00,22.63
0.021,-0.743,-0.780,6.042,-1.526,-0.366,-62.90,0.15,0.00,0.00,0.00,22.63
0.008,-0.757,-0.770,3.906,-1.892,-0.061,-62.90,0.15,0.00,0.00,0.00,22.63
0.008,-0.734,-0.770,1.892,-1.526,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.007,-0.708,-0.763,0.366,-1.343,2.258,-62.90,0.15,0.00,0.00,0.00,22.63
0.022,-0.711,-0.762,0.671,-0.427,2.197,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.697,-0.768,-0.061,-0.427,2.197,-62.90,0.15,0.00,0.00,0.00,22.63
0.024,-0.703,-0.768,0.244,-0.305,2.136,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.701,-0.770,0.183,-0.122,1.831,-62.90,0.15,0.00,0.00,0.00,22.63
0.008,-0.702,-0.751,-0.244,0.366,0.793,-62.90,0.15,0.00,0.00,0.00,22.63
-0.002,-0.712,-0.747,0.732,0.793,1.160,-62.90,0.15,0.00,0.00,0.00,22.63
0.010,-0.712,-0.776,-0.305,2.014,1.404,-62.90,0.15,0.00,0.00,0.00,22.63
0.032,-0.729,-0.794,0.183,2.380,1.770,-62.90,0.15,0.00,0.00,0.00,22.63
0.047,-0.730,-0.794,0.305,1.526,2.319,-62.90,0.15,0.00,0.00,0.00,22.63
0.039,-0.675,-0.772,-1.892,-0.488,1.953,-62.90,0.15,0.00,0.00,0.00,22.63
0.025,-0.709,-0.752,-0.183,-0.671,0.854,-62.90,0.15,0.00,0.00,0.00,22.63
0.011,-0.724,-0.732,0.916,-0.305,1.648,-62.90,0.15,0.00,0.00,0.00,22.63
0.019,-0.691,-0.760,-0.854,0.610,3.052,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.691,-0.764,15.320,1.038,2.136,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.705,-0.743,-0.977,2.441,1.343,-62.90,0.15,0.00,0.00,0.00,22.63
0.039,-0.662,-0.747,-3.052,3.418,0.488,-62.90,0.15,0.00,0.00,0.00,22.63
0.039,-0.638,-0.752,-2.258,3.052,-0.305,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.660,-0.750,2.258,1.282,0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.036,-0.744,-0.798,5.737,0.427,1.160,-62.90,0.15,0.00,0.00,0.00,22.63
0.016,-0.725,-0.782,3.296,-0.854,1.648,-62.90,0.15,0.00,0.00,0.00,22.63
0.005,-0.725,-0.765,1.892,-0.916,1.160,-62.90,0.15,0.00,0.00,0.00,22.63
0.013,-0.729,-0.778,1.343,0.671,1.099,-62.90,0.15,0.00,0.00,0.00,22.63
0.017,-0.703,-0.771,-0.305,0.854,1.099,-62.90,0.15,0.00,0.00,0.00,22.63
0.026,-0.684,-0.778,0.427,1.282,0.732,-62.90,0.15,0.00,0.00,0.00,22.63
0.029,-0.711,-0.785,1.526,1.465,0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.711,-0.774,1.465,1.282,0.183,-62.90,0.15,0.00,0.00,0.00,22.63
0.034,-0.678,-0.775,-0.122,1.343,0.122,-62.90,0.15,0.00,0.00,0.00,22.63
0.037,-0.658,-0.767,2.441,0.549,-1.099,-62.90,0.15,0.00,0.00,0.00,22.63
0.043,-0.693,-0.787,4.089,-0.244,-1.282,-62.90,0.15,0.00,0.00,0.00,22.63
0.045,-0.715,-0.795,5.066,-1.160,-1.038,-62.90,0.15,0.00,0.00,0.00,22.63
0.031,-0.707,-0.776,4.211,-2.502,-0.610,-62.90,0.15,0.00,0.00,0.00,22.63
0.030,-0.703,-0.778,2.625,-2.075,-1.526,-62.90,0.15,0.00,0.00,0.00,22.63
0.044,-0.729,-0.766,1.465,-2.380,-1.404,-62.90,0.15,0.00,0.00,0.00,22.63
0.005,-0.698,-0.753,-0.366,-2.747,-0.671,-62.90,0.15,0.00,0.00,0.00,22.63
0.006,-0.716,-0.758,-1.282,-1.892,-0.488,-62.90,0.15,0.00,0.00,0.00,22.63
