a1X,a1Y,a1Z,g1X,g1Y,g1Z,a2X,a2Y,a2Z,g2X,g2Y,g2Z
-0.750,-0.686,-0.273,-6.958,-0.366,-1.099,4.94,6.04,7.36,0.04,0.18,-0.01
-0.739,-0.687,-0.286,-9.827,-1.099,-1.343,4.98,5.99,7.44,0.07,0.19,-0.01
-0.749,-0.679,-0.273,-11.108,-1.892,-2.014,5.00,6.02,7.51,0.09,0.21,0.01
-0.763,-0.654,-0.242,-13.123,-1.892,-4.883,4.92,6.07,7.50,0.11,0.20,0.01
-0.751,-0.659,-0.246,-11.780,-1.038,-4.822,4.87,6.09,7.50,0.11,0.18,0.01
-0.741,-0.637,-0.224,-10.193,-0.732,-4.089,4.78,6.10,7.43,0.11,0.17,0.01
-0.739,-0.636,-0.230,-9.521,-0.488,-4.883,4.73,6.10,7.40,0.11,0.15,0.00
-0.747,-0.668,-0.250,-6.165,-1.404,-3.357,4.75,6.12,7.46,0.10,0.13,0.00
-0.744,-0.675,-0.254,-4.822,-2.136,-2.197,4.79,6.13,7.52,0.07,0.13,0.00
-0.751,-0.684,-0.245,-5.432,-3.479,-0.305,4.79,6.14,7.52,0.05,0.14,0.01
-0.760,-0.667,-0.247,-6.409,-3.235,0.305,4.78,6.17,7.52,0.03,0.14,0.01
-0.787,-0.636,-0.210,-6.165,-2.258,-0.061,4.71,6.25,7.43,0.01,0.13,0.01
-0.768,-0.649,-0.230,-4.028,-0.305,0.305,4.69,6.28,7.45,-0.03,0.11,-0.00
-0.738,-0.655,-0.229,-0.549,1.160,3.174,4.66,6.22,7.43,-0.06,0.09,-0.02
-0.729,-0.657,-0.233,-0.061,1.770,3.113,4.61,6.14,7.40,-0.07,0.07,-0.04
-0.738,-0.677,-0.220,-0.366,1.709,1.892,4.59,6.16,7.43,-0.07,0.05,-0.05
-0.737,-0.678,-0.213,-1.160,1.160,1.770,4.54,6.17,7.41,-0.09,0.05,-0.05
-0.723,-0.656,-0.214,-2.808,2.075,2.136,4.50,6.14,7.35,-0.09,0.04,-0.06
-0.732,-0.665,-0.223,-2.930,1.953,1.831,4.52,6.13,7.32,-0.08,0.03,-0.06
-0.740,-0.677,-0.213,-4.944,2.563,1.404,4.51,6.13,7.28,-0.06,0.04,-0.06
-0.740,-0.669,-0.228,-7.141,3.357,0.366,4.54,6.17,7.31,-0.03,0.04,-0.06
